wins,losses,name,Birth Date,height_cm,weight_kg,Rank
14,1,Terunofuji,29.11.1991,191,173,Y
11,4,Kiribayama,24.04.1996,187,138,S
10,5,Daieisho,10.11.1993,182,161,S
8,7,Kotonowaka,19.11.1997,188,166,K
6,9,Shodai,05.11.1991,184,170,K
8,7,Abi,04.05.1994,188,149,M1
3,3,Takayasu,28.02.1990,187,175,M2
8,7,Tobizaru,24.04.1992,175,131,M3
7,8,Ura,22.06.1992,175,136,M4
4,11,Kinbozan,24.06.1997,191,165,M5
8,7,Meisei,24.07.1995,180,151,M6
6,9,Hokutofuji,15.07.1992,185,162,M7
7,8,Sadanoumi,11.05.1987,182,139,M8
8,7,Onosho,04.07.1996,177,157,M9
5,10,Ryuden,10.11.1990,190,148,M10
8,7,Hokuseiho,12.11.2001,200,164,M11
5,10,Aoiyama,19.06.1986,191,188,M12
8,7,Chiyoshoma,20.07.1991,184,137,M13
12,3,Asanoyama,01.03.1994,187,174,M14
4,11,Ichiyamamoto,01.10.1993,187,133,M15
5,10,Mitoryu,25.04.1994,187,183,M16
7,8,Kagayaki,01.06.1994,193,160,M17
8,7,Takakeisho,05.08.1996,175,183,O
11,4,Hoshoryu,22.05.1999,186,131,S
10,5,Wakamotoharu,05.10.1993,187,143,S
0,0,Wakatakakage,06.12.1994,180,129,K
6,9,Midorifuji,30.08.1996,171,114,M1
0,7,Endo,19.10.1990,184,148,M2
3,12,Nishikifuji,22.07.1996,183,143,M3
9,6,Nishikigi,25.08.1990,184,169,M4
2,10,Kotoshoho,26.08.1999,191,156,M5
9,6,Mitakeumi,25.12.1992,179,172,M6
7,8,Tamawashi,16.11.1984,189,168,M7
7,8,Takanosho,14.11.1994,184,163,M8
9,6,Hiradoumi,20.04.2000,177,129,M9
5,10,Takarafuji,18.02.1987,185,166,M10
6,9,Daishoho,28.08.1994,184,171,M11
8,7,Kotoeko,20.11.1991,177,131,M12
0,0,Ichinojo,07.04.1993,192,198,M13
9,6,Myogiryu,22.10.1986,187,155,M14
9,6,Tsurugisho,27.07.1991,182,191,M15
11,4,Oho,14.02.2000,191,170,M16
